Fenton,Michigan,213
Hoover,Alabama,213
Lorton,Virginia,213
Ellensburg,Washington,212
Geneva,New York,212
Greenfield,Massachusetts,212
Ridgewood,New Jersey,212
South Portland,Maine,212
Bensenville,Illinois,211
Blue Springs,Missouri,211
Fort Washington,Pennsylvania,211
Greenfield,Indiana,211
Highlands Ranch,Colorado,211
Latrobe,Pennsylvania,211
Lenoir,North Carolina,211
Lincoln,Rhode Island,211
Plainfield,Indiana,211
Springfield,Oregon,211
Steamboat Springs,Colorado,211
Superior,Wisconsin,211
Coldwater,Michigan,210
Grand Rapids,Minnesota,210
Harrison,Arkansas,210
Smithfield,North Carolina,210
Edmonds,Washington,209
Jonesboro,Georgia,209
Murray,Kentucky,209
Painesville,Ohio,209
Rock Springs,Wyoming,209
Waynesboro,Virginia,209
Easley,South Carolina,208
Rancho Mirage,California,208
Canandaigua,New York,207
Gardner,Massachusetts,207
Glenwood Springs,Colorado,207
Henderson,North Carolina,207
Kennett Square,Pennsylvania,207
Montrose,Colorado,207
Rhinelander,Wisconsin,207
Sewell,New Jersey,207
Commack,New York,206
Hanover,New Hampshire,206
Niles,Illinois,206
Pittsburg,California,206
Warren,Pennsylvania,206
West Hollywood,California,206
Baldwin Park,California,205
Mukilteo,Washington,205
Sterling,Illinois,205
Stoughton,Massachusetts,205
Vincennes,Indiana,205
Bridgeport,West Virginia,204
Coos Bay,Oregon,204
Parma,Ohio,204
Placentia,California,204
Shrewsbury,Massachusetts,204
Washington,Missouri,204
Alpena,Michigan,203
Batavia,New York,203
Bloomfield,New Jersey,203
Henrico,Virginia,203
Industry,California,203
Steubenville,Ohio,203
Sumner,Washington,203
Alabaster,Alabama,202
Clemson,South Carolina,202
Leavenworth,Kansas,202
Oneonta,New York,202
Hempstead,New York,201
Johns Creek,Georgia,201
Lompoc,California,201
Acton,Massachusetts,200
Daly City,California,200
Danville,Kentucky,200
Glendale Heights,Illinois,200
Golden Valley,Minnesota,200
Greenville,Mississippi,200
Mission,Texas,200
San Juan Capistrano,California,200
South Lake Tahoe,California,200
Watertown,South Dakota,200
Inverness,Florida,199
La Habra,California,199
Shelbyville,Indiana,199
Bristol,Pennsylvania,198
Carlsbad,New Mexico,198
Dubois,Pennsylvania,198
Ephrata,Pennsylvania,198
Garden City,Kansas,198
Gloucester,Massachusetts,198
Madison,Mississippi,198
Moorpark,California,198
O'Fallon,Illinois,198
Sandy Springs,Georgia,198
Stillwater,Minnesota,198
Bullhead City,Arizona,197
Daphne,Alabama,197
Marina Del Rey,California,197
Marshall,Texas,197
Placerville,California,197
Tucker,Georgia,197
Bethpage,New York,196
East Pittsburgh,Pennsylvania,196
Fort Bragg,North Carolina,196
Foxborough,Massachusetts,196
Lake Elsinore,California,196
Marshalltown,Iowa,196
Mount Pleasant,Texas,196
Uniondale,New York,196
Hudson,New Hampshire,195
Matawan,New Jersey,195
Miamisburg,Ohio,195
Ottumwa,Iowa,195
Purchase,New York,195
Apopka,Florida,194
Bryn Mawr,Pennsylvania,194
Clark,New Jersey,194
Gaffney,South Carolina,194
Pinellas Park,Florida,194
Warrenville,Illinois,194
Emporia,Kansas,193
Hingham,Massachusetts,193
Perth Amboy,New Jersey,193
Piqua,Ohio,193
Radford,Virginia,193
Valhalla,New York,193
Wake Forest,North Carolina,193
Chester,Pennsylvania,192
Hebron,Kentucky,192
Malden,Massachusetts,192
Ridgeland,Mississippi,192
Westmont,Illinois,192
Anacortes,Washington,191
Benton,Arkansas,191
Bloomingdale,Illinois,191
Thomasville,North Carolina,191
Warrensburg,Missouri,191
Clearfield,Utah,190
Niles,Michigan,190
Pekin,Illinois,190
Vernon,California,190
West Monroe,Louisiana,190
Yorktown,Virginia,190
Alamogordo,New Mexico,189
