Des Moines,Iowa,5997,http://www.payscale.com/research/US/Job=Software_Engineer/Salary/51d221c2/Des-Moines-IA
St. Paul,Minnesota,5928,http://www.payscale.com/research/US/Job=Software_Engineer/Salary/2f172e97/St.-Paul-MN
Greensboro,North Carolina,5927,http://www.payscale.com/research/US/Job=Software_Engineer/Salary/b9bf0478/Greensboro-NC
Virginia Beach,Virginia,5909,http://www.payscale.com/research/US/Job=Software_Engineer/Salary/fd196e31/Virginia-Beach-VA
Boise,Idaho,5870,http://www.payscale.com/research/US/Job=Software_Engineer/Salary/289a829e/Boise-ID
Wichita,Kansas,5726,http://www.payscale.com/research/US/Job=Software_Engineer/Salary/2b1c97de/Wichita-KS
Huntsville,Alabama,5696,http://www.payscale.com/research/US/Job=Software_Engineer/Salary/b88c8656/Huntsville-AL
Little Rock,Arkansas,5405,http://www.payscale.com/research/US/Job=Software_Engineer/Salary/e3e00c9a/Little-Rock-AR
Newark,New Jersey,5268,http://www.payscale.com/research/US/Job=Software_Engineer/Salary/8a663d4b/Newark-NJ
Syracuse,New York,5253,http://www.payscale.com/research/US/Job=Software_Engineer/Salary/5a69566b/Syracuse-NY
Lexington,Kentucky,5098,http://www.payscale.com/research/US/Job=Software_Engineer/Salary/4fa4bfea/Lexington-KY
Fort Wayne,Indiana,5070,http://www.payscale.com/research/US/Job=Software_Engineer/Salary/c1e69058/Fort-Wayne-IN
Akron,Ohio,5068,http://www.payscale.com/research/US/Job=Software_Engineer/Salary/73357733/Akron-OH
Oakland,California,4968,http://www.payscale.com/research/US/Job=Software_Engineer/Salary/f27766b3/Oakland-CA
Arlington,Virginia,4885,http://www.payscale.com/research/US/Job=Software_Engineer/Salary/7f487258/Arlington-VA
Spokane,Washington,4840,http://www.payscale.com/research/US/Job=Software_Engineer/Salary/b30f2b05/Spokane-WA
Ann Arbor,Michigan,4813,http://www.payscale.com/research/US/Job=Software_Engineer/Salary/5c58c9cf/Ann-Arbor-MI
Chattanooga,Tennessee,4753,http://www.payscale.com/research/US/Job=Software_Engineer/Salary/296b1d08/Chattanooga-TN
Durham,North Carolina,4753,http://www.payscale.com/research/US/Job=Software_Engineer/Salary/f6d2f9bc/Durham-NC
Providence,Rhode Island,4730,http://www.payscale.com/research/US/Job=Software_Engineer/Salary/f9553996/Providence-RI
Plano,Texas,4696,http://www.payscale.com/research/US/Job=Software_Engineer/Salary/7834306c/Plano-TX
Scottsdale,Arizona,4561,http://www.payscale.com/research/US/Job=Software_Engineer/Salary/3f30dc6b/Scottsdale-AZ
El Paso,Texas,4560,http://www.payscale.com/research/US/Job=Software_Engineer/Salary/4960aa9e/El-Paso-TX
Boulder,Colorado,4462,http://www.payscale.com/research/US/Job=Software_Engineer/Salary/a703a3b6/Boulder-CO
Fairfax,Virginia,4346,http://www.payscale.com/research/US/Job=Software_Engineer/Salary/51ff0064/Fairfax-VA
Norfolk,Virginia,4343,http://www.payscale.com/research/US/Job=Software_Engineer/Salary/f81ccee2/Norfolk-VA
Bellevue,Washington,4329,http://www.payscale.com/research/US/Job=Software_Engineer/Salary/2c2a0dd6/Bellevue-WA
Harrisburg,Pennsylvania,4327,http://www.payscale.com/research/US/Job=Software_Engineer/Salary/00178d48/Harrisburg-PA
Palo Alto,California,4323,http://www.payscale.com/research/US/Job=Software_Engineer/Salary/a7333fe6/Palo-Alto-CA
Reno,Nevada,4320,http://www.payscale.com/research/US/Job=Software_Engineer/Salary/9e8a4949/Reno-NV
Jersey City,New Jersey,3959,http://www.payscale.com/research/US/Job=Software_Engineer/Salary/677534b9/Jersey-City-NJ
Long Beach,California,3896,http://www.payscale.com/research/US/Job=Software_Engineer/Salary/6305506d/Long-Beach-CA
Portland,Maine,3853,http://www.payscale.com/research/US/Job=Software_Engineer/Salary/5022b9b5/Portland-ME
